,Product Name,Product Category,Product Page,Price in GBP
0,Anna Maria’s Welcome Home Quilt Kit,Quilt Kit,https://www.sewhot.co.uk/product/anna-marias-welcome-home-quilt-kit/,285.0
1,Made My Day Canna Toffee,Bulk Goods,https://www.sewhot.co.uk/product/made-my-day-canna-toffee/,15.5
2,Made My Day Canna Jade,Bulk Goods,https://www.sewhot.co.uk/product/made-my-day-canna-jade/,15.5
3,Pathways Quilt Pattern – downloadable,Pattern,https://www.sewhot.co.uk/product/pathways-quilt-pattern-downloadable/,10.0
4,Aurifil Thread Labs Subscription Box 2.0,Thread,https://www.sewhot.co.uk/product/aurifil-thread-labs-subscription-box-2-0/,66.0
5,Tambourine Stitchery Brass,Bulk Goods,https://www.sewhot.co.uk/product/tambourine-stitchery-brass/,14.0
6,Our Fair Home Peony Heather 108″ Wideback,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-peony-heather-108-wideback/,29.9
7,Visions Quilt Acrylic Template Set,Templates,https://www.sewhot.co.uk/product/visions-quilt-acrylic-template-set/,64.0
8,Visions Quilt Pattern,Pattern,https://www.sewhot.co.uk/product/visions-quilt-pattern/,29.0
9,Our Fair Home Fat Quarter Bundle,Fat Quarter Bundle,https://www.sewhot.co.uk/product/our-fair-home-fat-quarter-bundle/,69.95
10,Our Fair Home Aphrodite Small Sea,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-aphrodite-small-sea/,16.45
11,Our Fair Home Aphrodite Sugar,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-aphrodite-sugar/,16.45
12,Our Fair Home Checkers Sunday,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-checkers-sunday/,16.45
13,Our Fair Home Checkers Saturday,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-checkers-saturday/,16.45
14,Our Fair Home Trellis Pond,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-trellis-pond/,16.45
15,Our Fair Home Trellis Peach,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-trellis-peach/,16.45
16,Our Fair Home Peacock Small Day,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-peacock-small-day/,16.45
17,Our Fair Home Peacock Night,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-peacock-night/,16.45
18,Our Fair Home Neighbourly Rust,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-neighbourly-rust/,16.45
19,Our Fair Home Neighbourly Periwinkle,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-neighbourly-periwinkle/,16.45
20,Our Fair Home Neighbourly Honey,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-neighbourly-honey/,16.45
21,Our Fair Home Housewarming Shocker,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-housewarming-shocker/,16.45
22,Our Fair Home Housewarming Jade,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-housewarming-jade/,16.45
23,Our Fair Home Compromise Small Cream,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-compromise-small-cream/,16.45
24,Our Fair Home Compromise Aqua,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-compromise-aqua/,16.45
25,Our Fair Home Walkway Juniper,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-walkway-juniper/,16.45
26,Our Fair Home Walkway Caramel,Bulk Goods,https://www.sewhot.co.uk/product/our-fair-home-walkway-caramel/,16.45
27,"Love Always, AM In Town Licorice",Bulk Goods,https://www.sewhot.co.uk/product/love-always-am-in-town-licorice/,16.2
28,"Love Always, AM Cathedral Pink",Bulk Goods,https://www.sewhot.co.uk/product/love-always-am-cathedral-pink/,16.2
29,"Love Always, AM Cathedral Blue",Bulk Goods,https://www.sewhot.co.uk/product/love-always-am-cathedral-blue/,16.2
